DATA,D1,D2,D3,D4,D5,D6
23/09/2020,18,22,25,27,43,44
19/09/2020,17,18,35,36,47,52
17/09/2020,9,21,37,39,43,54
15/09/2020,2,3,19,40,44,60
12/09/2020,13,17,21,31,41,49
09/09/2020,20,22,35,40,41,59
05/09/2020,1,6,21,29,36,59
02/09/2020,6,13,26,28,35,41
29/08/2020,9,15,20,33,41,43
26/08/2020,1,2,10,37,42,48
22/08/2020,6,16,18,33,42,57
19/08/2020,12,26,31,36,37,49
15/08/2020,5,18,36,44,57,60
13/08/2020,6,9,34,37,38,45
11/08/2020,2,26,35,39,40,56
08/08/2020,2,4,6,29,41,56
05/08/2020,9,21,30,41,42,43
01/08/2020,1,7,10,12,33,42
29/07/2020,4,10,12,14,36,46
25/07/2020,4,24,37,43,59,60
22/07/2020,12,27,30,36,45,52
18/07/2020,14,27,35,40,50,55
16/07/2020,28,29,31,50,58,59
14/07/2020,5,12,14,20,27,28
11/07/2020,8,17,34,37,43,45
08/07/2020,10,22,23,37,53,60
04/07/2020,5,15,18,27,49,57
01/07/2020,2,4,25,36,50,53
27/06/2020,8,11,17,33,40,55
24/06/2020,15,16,20,38,40,58
20/06/2020,2,5,11,24,41,49
17/06/2020,6,10,27,28,41,52
13/06/2020,14,16,38,39,41,48
10/06/2020,1,11,14,23,29,55
06/06/2020,4,13,23,28,30,52
03/06/2020,20,32,33,48,49,53
30/05/2020,10,23,31,37,58,59
27/05/2020,14,20,23,39,46,50
23/05/2020,2,3,8,19,29,37
20/05/2020,9,24,33,43,49,57
16/05/2020,7,8,14,23,30,46
13/05/2020,7,23,26,27,29,51
09/05/2020,12,14,34,35,37,47
07/05/2020,20,27,41,54,56,58
05/05/2020,1,5,7,14,23,26
02/05/2020,18,21,30,31,34,51
29/04/2020,9,10,30,37,47,54
25/04/2020,15,20,39,41,49,57
22/04/2020,4,9,24,44,47,56
18/04/2020,31,32,33,39,52,55
15/04/2020,1,17,30,37,46,50
11/04/2020,5,15,22,26,54,58
08/04/2020,27,33,39,52,57,58
04/04/2020,4,9,31,47,49,53
01/04/2020,9,15,20,29,30,42
28/03/2020,1,42,44,47,48,53
25/03/2020,5,9,24,27,33,46
21/03/2020,11,14,15,18,33,34
18/03/2020,3,5,11,34,37,42
14/03/2020,14,18,28,35,38,54
12/03/2020,5,9,18,24,25,42
10/03/2020,1,13,18,26,40,56
07/03/2020,7,9,10,19,25,58
04/03/2020,7,27,31,39,45,46
29/02/2020,11,36,45,55,57,58
27/02/2020,11,20,27,28,53,60
22/02/2020,7,20,38,43,45,53
19/02/2020,14,18,30,35,55,57
15/02/2020,4,21,27,29,42,47
12/02/2020,4,6,32,35,41,45
08/02/2020,7,8,31,34,38,47
05/02/2020,4,13,25,40,53,57
01/02/2020,7,17,26,39,56,60
29/01/2020,6,11,29,40,41,58
25/01/2020,9,19,23,32,39,45
23/01/2020,6,9,12,27,32,57
21/01/2020,2,4,7,16,30,38
18/01/2020,1,32,37,44,46,47
15/01/2020,16,23,32,50,52,58
11/01/2020,2,26,40,42,49,56
08/01/2020,13,14,29,30,48,59
04/01/2020,5,23,34,45,56,57
31/12/2019,3,35,38,40,57,58
21/12/2019,8,28,36,45,57,59
19/12/2019,6,16,22,38,48,52
17/12/2019,10,14,16,30,32,36
14/12/2019,10,24,42,43,48,49
11/12/2019,1,19,21,23,33,43
07/12/2019,4,10,18,30,34,47
04/12/2019,5,7,10,32,46,60
30/11/2019,23,26,51,52,53,58
27/11/2019,27,36,40,41,44,54
23/11/2019,11,17,24,25,33,34
20/11/2019,22,25,28,32,33,47
16/11/2019,16,25,30,40,45,49
13/11/2019,6,10,11,43,53,55
09/11/2019,6,27,38,42,45,57
06/11/2019,12,21,28,37,42,57
04/11/2019,1,28,29,32,35,56
30/10/2019,17,34,46,49,50,57
26/10/2019,11,29,37,38,43,60
24/10/2019,3,13,23,41,49,53
22/10/2019,11,15,28,36,43,55
19/10/2019,15,23,30,35,38,44
16/10/2019,1,11,34,36,44,56
14/10/2019,3,11,29,35,44,57
09/10/2019,1,25,27,28,41,56
05/10/2019,14,24,32,38,46,53
02/10/2019,8,16,20,21,31,34
28/09/2019,7,8,22,27,29,42
26/09/2019,7,16,37,53,57,59
24/09/2019,4,8,26,33,46,53
21/09/2019,5,9,20,25,35,53
18/09/2019,4,11,16,22,29,33
14/09/2019,2,17,21,28,51,60
11/09/2019,10,11,16,21,46,50
09/09/2019,12,18,19,27,41,46
04/09/2019,9,18,19,22,42,47
31/08/2019,15,36,45,51,52,59
28/08/2019,13,26,30,34,43,51
24/08/2019,19,22,39,46,47,59
21/08/2019,1,8,19,33,36,48
17/08/2019,10,12,16,21,28,38
14/08/2019,2,13,24,35,50,54
10/08/2019,2,16,21,42,50,56
08/08/2019,9,11,14,31,48,51
06/08/2019,8,23,25,39,43,44
03/08/2019,7,25,32,43,53,55
31/07/2019,10,15,34,36,56,60
27/07/2019,2,9,42,44,48,50
24/07/2019,9,24,28,37,43,57
20/07/2019,12,13,19,36,44,55
17/07/2019,10,21,24,36,38,51
13/07/2019,7,34,45,51,54,59
11/07/2019,1,4,25,27,29,37
09/07/2019,27,37,38,43,45,54
06/07/2019,3,19,34,44,56,58
03/07/2019,5,37,43,49,54,56
29/06/2019,16,17,25,47,48,58
26/06/2019,8,18,20,24,36,45
22/06/2019,11,16,22,30,34,42
19/06/2019,8,9,10,24,42,44
15/06/2019,1,19,46,47,49,53
12/06/2019,14,26,35,38,45,53
08/06/2019,9,27,35,45,46,59
05/06/2019,31,33,34,35,39,48
01/06/2019,1,6,23,26,39,49
29/05/2019,2,6,27,37,44,47
25/05/2019,7,25,41,47,50,53
22/05/2019,8,13,28,31,32,33
18/05/2019,26,29,36,49,50,59
15/05/2019,2,14,18,29,36,38
11/05/2019,23,24,26,38,42,49
08/05/2019,21,23,37,44,46,48
04/05/2019,8,15,32,33,58,59
02/05/2019,17,19,37,41,42,49
27/04/2019,16,18,31,39,42,44
24/04/2019,6,8,28,51,53,59
20/04/2019,7,16,21,33,55,60
17/04/2019,2,12,35,51,57,58
13/04/2019,7,40,44,50,52,57
10/04/2019,10,11,17,19,37,41
06/04/2019,17,20,26,36,42,54
03/04/2019,14,23,29,41,57,58
30/03/2019,4,13,14,21,30,34
27/03/2019,1,2,11,12,34,49
23/03/2019,1,8,11,22,30,35
20/03/2019,9,23,28,40,48,59
16/03/2019,6,21,34,46,54,59
13/03/2019,19,20,26,51,52,57
09/03/2019,5,18,30,35,39,60
06/03/2019,2,3,6,18,20,28
02/03/2019,13,16,36,53,54,55
28/02/2019,6,12,31,32,46,60
26/02/2019,11,16,24,46,54,55
23/02/2019,1,7,28,30,44,46
20/02/2019,7,12,24,27,39,58
16/02/2019,1,31,44,46,53,58
13/02/2019,2,11,20,31,43,47
09/02/2019,14,15,47,50,56,59
06/02/2019,3,11,15,21,27,49
02/02/2019,8,10,17,29,37,40
30/01/2019,13,20,24,25,38,41
26/01/2019,19,21,26,31,42,49
